Date,Open,High,Low,Close,Adj Close,Volume
2017-03-22,19146.619141,19183.269531,19026.529297,19041.380859,19041.380859,136600
2017-03-23,19048.839844,19105.109375,18973.750000,19085.310547,19085.310547,121000
2017-03-24,19066.349609,19296.050781,19060.640625,19262.529297,19262.529297,127700
2017-03-27,18985.589844,18985.589844,18985.589844,18985.589844,18985.589844,120800
2017-03-28,19159.070313,19203.640625,19113.439453,19202.869141,19202.869141,122300
2017-03-29,19216.779297,19251.300781,19164.609375,19217.480469,19217.480469,115100
2017-03-30,19150.820313,19218.080078,19043.480469,19063.220703,19063.220703,124500
2017-03-31,19170.419922,19210.919922,18909.259766,18909.259766,18909.259766,149200
2017-04-03,18988.000000,19068.619141,18920.519531,18983.230469,18983.230469,134200
2017-04-04,18933.820313,18947.330078,18703.630859,18810.250000,18810.250000,146900
2017-04-05,18900.699219,18941.939453,18773.939453,18861.269531,18861.269531,121600
2017-04-06,18754.369141,18797.439453,18532.650391,18597.060547,18597.060547,133600
2017-04-07,18714.980469,18785.730469,18517.429688,18664.630859,18664.630859,161600
2017-04-10,18800.220703,18850.800781,18762.699219,18797.880859,18797.880859,111300
2017-04-11,18717.550781,18767.699219,18661.859375,18747.869141,18747.869141,105100
2017-04-12,18592.099609,18602.500000,18460.589844,18552.609375,18552.609375,116300
2017-04-13,18391.720703,18455.250000,18304.720703,18426.839844,18426.839844,123700
2017-04-14,18531.910156,18531.910156,18285.730469,18335.630859,18335.630859,0
2017-04-17,18239.839844,18361.439453,18224.679688,18355.259766,18355.259766,0
2017-04-18,18497.380859,18547.460938,18362.730469,18418.589844,18418.589844,93300
2017-04-19,18327.330078,18467.730469,18327.330078,18432.199219,18432.199219,120800
2017-04-20,18446.390625,18523.400391,18420.820313,18430.490234,18430.490234,116900
2017-04-21,18591.820313,18648.279297,18542.419922,18620.750000,18620.750000,113200
2017-04-24,18890.380859,18910.330078,18840.130859,18875.880859,18875.880859,98100
2017-04-25,18872.560547,19109.759766,18867.189453,19079.330078,19079.330078,118000
